         17004346 function calls (16945508 primitive calls) in 13.105 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      722    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
       30    0.000    0.000    0.000    0.000 generic.py:89(generate_property)
      250    0.000    0.000    0.001    0.000 sre_parse.py:84(opengroup)
       79    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
  115/109    0.000    0.000    0.004    0.000 typing.py:180(_subs_tvars)
      214    0.000    0.000    0.001    0.000 sre_parse.py:224(__init__)
      512    0.000    0.000    0.001    0.000 enum.py:26(_is_dunder)
      991    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       56    0.000    0.000    0.001    0.000 inspect.py:1799(_signature_bound_method)
        1    0.000    0.000    0.005    0.005 core.py:1(<module>)
       12    0.000    0.000    0.001    0.000 _make.py:548(_create_slots_class)
      125    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      109    0.000    0.000    0.005    0.000 typing.py:621(__getitem__)
      239    0.000    0.000    0.005    0.000 rcsetup.py:311(validate_color_for_prop_cycle)
       54    0.000    0.000    0.001    0.000 config.py:413(register_option)
      512    0.000    0.000    0.001    0.000 enum.py:34(_is_sunder)
     1108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
      611    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
      895    0.000    0.000    0.000    0.000 rcsetup.py:192(validator)
        1    0.000    0.000    0.052    0.052 __init__.py:101(<module>)
      161    0.000    0.000    0.000    0.000 _decorators.py:289(__call__)
      273    0.000    0.000    0.001    0.000 function_base.py:446(_add_docstring)
      157    0.000    0.000    0.001    0.000 posixpath.py:75(join)
